Datum;Erster;Hoch;Tief;Schlusskurs;Volumen
04.03.2013;7.654,67;7.708,88;7.637,32;7.691,68;2.148.781.568
01.03.2013;7.735,35;7.767,67;7.627,99;7.708,16;3.078.771.968
28.02.2013;7.712,2;7.753,39;7.691,81;7.741,7;3.057.131.776
27.02.2013;7.641,84;7.679,44;7.565,78;7.675,83;2.739.166.976
26.02.2013;7.682,24;7.683,96;7.589,32;7.597,11;3.917.501.952
25.02.2013;7.731,8;7.860,57;7.726,4;7.773,19;4.233.195.776
22.02.2013;7.619,81;7.681,12;7.607,26;7.661,91;3.293.716.480
21.02.2013;7.681,61;7.688,44;7.561,84;7.583,57;3.376.036.608
20.02.2013;7.747,21;7.784,64;7.709,48;7.728,9;2.645.630.464
19.02.2013;7.614,1;7.762,9;7.611,6;7.752,45;2.918.574.080
18.02.2013;7.591,08;7.629,78;7.568,16;7.628,73;1.814.702.336
15.02.2013;7.636,26;7.649,5;7.588,57;7.593,51;3.144.806.656
14.02.2013;7.697,89;7.729,36;7.607,48;7.631,19;2.348.279.808
13.02.2013;7.678,48;7.737,41;7.650,29;7.711,89;2.410.591.744
12.02.2013;7.619,12;7.661,97;7.593,66;7.660,19;2.513.530.624
11.02.2013;7.627,72;7.676,82;7.597,61;7.633,74;2.185.090.048
08.02.2013;7.607,57;7.655,31;7.577,34;7.652,14;2.691.198.976
07.02.2013;7.581,37;7.661,31;7.565,32;7.590,85;3.419.049.728
06.02.2013;7.665,88;7.694,42;7.537,29;7.581,18;3.322.725.120
05.02.2013;7.643,54;7.677,14;7.622,3;7.664,66;3.172.119.552
04.02.2013;7.822,54;7.837,64;7.637,68;7.638,23;3.751.095.296
01.02.2013;7.792,59;7.853,37;7.784,97;7.833,39;3.049.626.112
31.01.2013;7.800,45;7.812,34;7.765,2;7.776,05;3.594.505.984
30.01.2013;7.855,68;7.863,35;7.775,03;7.811,31;2.773.916.416
29.01.2013;7.841,96;7.857,14;7.800,12;7.848,57;2.483.784.448
28.01.2013;7.859,83;7.871,79;7.831,72;7.833;2.272.182.272
25.01.2013;7.746,78;7.865,16;7.743,19;7.857,97;2.967.366.144
24.01.2013;7.700,53;7.753,3;7.661,96;7.748,13;2.521.383.168
23.01.2013;7.702,92;7.731,63;7.684,84;7.707,54;2.795.417.344
22.01.2013;7.741,88;7.746,91;7.634,26;7.696,21;2.930.738.688
21.01.2013;7.727,77;7.749,82;7.719,02;7.748,86;1.568.849.408
18.01.2013;7.747,13;7.753,49;7.702,23;7.702,23;3.016.427.520
17.01.2013;7.677,28;7.764,03;7.662,43;7.735,46;2.678.626.048
16.01.2013;7.661,61;7.694,8;7.643,14;7.691,13;2.599.198.976
15.01.2013;7.704,05;7.735,21;7.635,88;7.675,91;3.129.931.776
14.01.2013;7.737,61;7.785,82;7.702,36;7.729,52;2.456.668.672
11.01.2013;7.725,93;7.731,45;7.683,92;7.715,53;2.555.812.608
10.01.2013;7.732,14;7.773,69;7.685,08;7.708,47;2.972.317.184
09.01.2013;7.713,57;7.734,78;7.688,55;7.720,47;2.813.440.768
08.01.2013;7.710,7;7.754,38;7.683,48;7.695,83;2.375.681.792
07.01.2013;7.760,01;7.767,55;7.713,42;7.732,66;2.622.239.232
04.01.2013;7.740,99;7.779,67;7.727,55;7.776,37;2.078.435.200
03.01.2013;7.762,13;7.777,02;7.737,98;7.756,44;2.025.776.128
02.01.2013;7.689,46;7.789,94;7.689,46;7.778,78;3.282.130.944
28.12.2012;7.649,89;7.665,68;7.602,89;7.612,39;1.161.291.392
27.12.2012;7.652,27;7.676,5;7.640,3;7.655,88;1.630.295.168
21.12.2012;7.632,41;7.653,73;7.596,64;7.636,23;5.537.221.632
20.12.2012;7.642,99;7.675,45;7.635,39;7.672,1;2.271.609.088
19.12.2012;7.675,33;7.682,9;7.655,71;7.668,5;2.872.345.856
18.12.2012;7.634,28;7.667,91;7.626,25;7.653,58;2.605.295.872
17.12.2012;7.604,16;7.627,14;7.564,07;7.604,94;2.142.156.672
14.12.2012;7.599,03;7.619,26;7.571,16;7.596,47;2.385.310.976
13.12.2012;7.618,62;7.618,62;7.561,96;7.581,98;3.043.889.664
12.12.2012;7.595,2;7.626,4;7.590,18;7.614,79;2.547.321.856
11.12.2012;7.529,24;7.596,9;7.518,74;7.589,75;2.698.603.008
10.12.2012;7.484,95;7.536,6;7.457,4;7.530,92;2.090.959.744
07.12.2012;7.539,78;7.553,05;7.487,64;7.517,8;2.855.954.688
06.12.2012;7.469,54;7.554,51;7.461,19;7.534,54;3.615.524.352
05.12.2012;7.480,59;7.482,28;7.428,7;7.454,55;2.473.675.264
04.12.2012;7.428,13;7.466,25;7.417,3;7.435,12;2.155.323.392
03.12.2012;7.427,41;7.487,89;7.419,3;7.435,21;2.342.428.928
30.11.2012;7.399,09;7.442,6;7.398,22;7.405,5;2.664.239.104
29.11.2012;7.382,55;7.416,52;7.377,09;7.400,96;2.985.033.472
28.11.2012;7.317,49;7.351,48;7.265,44;7.343,41;2.335.811.072
27.11.2012;7.343,01;7.361,55;7.307,3;7.332,33;2.169.786.624
26.11.2012;7.286,69;7.312,86;7.273,57;7.292,03;1.902.138.240
23.11.2012;7.258,33;7.311,55;7.219,55;7.309,13;2.080.605.056
22.11.2012;7.210,46;7.253,02;7.205,2;7.244,99;2.397.908.992
21.11.2012;7.148,91;7.194,79;7.139,99;7.184,71;2.483.959.552
20.11.2012;7.098,13;7.186,61;7.092,23;7.172,99;2.302.617.344
19.11.2012;7.020,23;7.130,87;7.007,21;7.123,84;2.707.627.264
16.11.2012;7.045,63;7.059,83;6.950,53;6.950,53;3.755.691.008
15.11.2012;7.064,99;7.079,22;7.021,62;7.043,42;2.943.706.880
14.11.2012;7.156,34;7.182,81;7.084,63;7.101,92;2.853.415.680
13.11.2012;7.131,6;7.185,29;7.074,87;7.169,12;3.675.535.360
12.11.2012;7.164,68;7.196;7.138,17;7.168,76;1.858.294.272
09.11.2012;7.220,69;7.222,87;7.064,34;7.163,5;3.311.808.768
08.11.2012;7.260,35;7.287;7.184,18;7.204,96;3.629.725.696
07.11.2012;7.425,08;7.434,96;7.226,6;7.232,83;3.737.006.592
06.11.2012;7.336,46;7.388,98;7.319,73;7.377,76;2.742.775.552
05.11.2012;7.320,98;7.337,47;7.304,45;7.326,47;2.087.130.240
02.11.2012;7.336,52;7.391,04;7.314,68;7.363,85;2.909.360.128
